chapter_var|verse_num|hebrew_word|transliteration_gloss
al_ch2Verses|כב|וּמַנְטִי|Omnti
al_ch2Verses|כד|מִינוֹן|Minon
al_ch2Verses|כה|וְהִנָּם|Ohnm
al_ch2Verses|ל|חוּסָה|Chosh
al_ch2Verses|ל|וְהַחֲיֵה|Ohchih
al_ch2Verses|ל|בְּיָדֶיךָ|Bidik
al_ch2Verses|לג|וַיַּבְרִיחֵם׃|Oibrichm
al_ch2Verses|לד|וּבָעַמְלִיסִים|Ovmlisim
al_ch2Verses|לה|יִסָּפְרוּ׃|Ispro
al_ch2Verses|לז|וַיִּנָּגְרוּ|Oingro
al_ch2Verses|לז|הַגִּיעָם|Hgim
al_ch3Verses|ד|וַיִּבָּדְלוּ|Oibdlo
al_ch3Verses|ד|אֲדֻמִּים|Dmim
al_ch3Verses|ה|וְקַלְּעוֹתֵיהֶם|Oklotihm
al_ch3Verses|ו|וּקְדוֹשִׁים׃|Okdoshim
al_ch3Verses|ח|יִבָּדֵל|Ibdl
al_ch3Verses|ח|יִתְעָרְבוּ|Itrvo
al_ch3Verses|ח|בְּתוֹרוֹת|Btorot
al_ch3Verses|ט|עֵרַב|Rv
al_ch3Verses|יד|נִקְיַם|Nkim
al_ch3Verses|טו|יְקֻלְּלוּ|Ikllo
al_ch3Verses|יז|הַסָּר|Hsr
al_ch3Verses|יח|מְקִימִים|Mkimim
al_ch3Verses|כד|מֵאוֹיְבֵיהֶם׃|Moivihm
al_ch3Verses|כו|גְּמוּלָם|Gmolm
al_ch4Verses|ג|נֵעוֹרוּ|Noro
al_ch4Verses|ו|וּמִשְׁיָם|Omshim
al_ch4Verses|ו|וּבוּצָם|Obotsm
al_ch4Verses|ח|לָבוּז|Lboz
al_ch4Verses|ט|קְנָאוֹת|Knot
al_ch4Verses|ט|וּמַצּוֹת|Omtsot
al_ch4Verses|ט|וְגַאֲוָה|Ogoh
al_ch4Verses|יב|פְּלָיָה|Plih
al_ch4Verses|יג|לְקִינוֹת|Lkinot
al_ch4Verses|יג|וְתוֹמְכִים|Otomkim
al_ch4Verses|יג|וּמַאֲכִילִים|Omkhilim
al_ch4Verses|יג|וְסֹבְלִים|Osblim
al_ch4Verses|יד|וּגְאֻלָּתוֹ|Oglto
al_ch4Verses|טו|עֲנָוֵי|Noi
al_ch4Verses|טז|וּלְהַעֲמִידָם|Olhmidm
al_ch4Verses|יז|נֶפִיה|Npih
al_ch4Verses|יז|וַיִּמָּנֶה|Oimnh
al_ch4Verses|יט|וּלְהַפִּיל|Olhpil
al_ch4Verses|יט|טְהוֹרָה׃|Thorh
al_ch4Verses|כ|וְהַנְּבוּאָה׃|Ohnvoh
al_ch5Verses|ה|וַנּוּבָא|Onov
al_ch5Verses|ה|וּפֹה|Oph
al_ch5Verses|ז|וַיְקִיצֵם|Oikitsm
al_ch5Verses|ז|וַיִּקְצוּ|Oiktso
al_ch5Verses|ז|הוּאֲרוּ|Horo
al_ch5Verses|ט|וְשׁוֹאֵל|Oshol
al_ch5Verses|ט|וְכַבְלֵי|Okbli
al_ch5Verses|ט|וַיָּשִׁירוּ|Oishiro
al_ch5Verses|יב|תְמוּרָה|Tmorh
al_ch5Verses|יג|וַתֵּעָשׂ|Otsh
al_ch5Verses|יח|מְרִיתֶם|Mritm
al_ch5Verses|יט|וְיָדַיִם|Oidim
al_ch5Verses|כא|יְטֹהֲרוּ|Ithro
al_ch5Verses|כד|זַכִּים|Zkim
al_ch5Verses|כה|לְכוֹזֵב|Lkozb
al_ch5Verses|כה|כוֹזֵב|Kozb
al_ch5Verses|כו|תְּמוּרַת|Tmort
al_ch5Verses|כז|תְּמִימִים|Tmimim
al_ch5Verses|כז|הָיִיתֶם|Hiitm
al_ch5Verses|כט|הֲיֵשׁ|Hish
al_ch5Verses|ל|הֲיֵשׁ|Hish
al_ch5Verses|לג|פְּרוּשׂוֹת|Proshot
al_ch5Verses|לו|לְיַלֵל|Lill
al_ch5Verses|לט|מֵאֵי|Mi
al_ch5Verses|לט|כּוֹזֵב|Kozb
al_ch5Verses|מג|תִתְעוּ|Tto
al_ch5Verses|מח|הַיָּחִיד|Hichid
al_ch5Verses|מט|הַבֵּינַיִם|Hbinim
al_ch5Verses|נ|יָאִיר|Iir
al_ch5Verses|נא|קוֹרֵאת|Kort
al_ch5Verses|נב|מוּנָח|Monch
al_ch5Verses|נז|יִמָּחוּ|Imcho
al_ch5Verses|נז|יִמָּנוּ|Imno
al_ch5Verses|נז|יִקּוּם|Ikom
al_ch5Verses|נז|יִתְעָרְבוּ|Itrvo
al_ch5Verses|נח|יִקּוּם׃|Ikom
al_ch5Verses|נט|וְיִטְרְפוּ|Oitrpo
al_ch5Verses|נט|יַשְׁמִידֵהוּ׃|Ishmidho
al_ch5Verses|ס|יְבִיאֲכֶם|Ivikhm
al_ch5Verses|ס|טוֹרֵף|Torf
al_ch6Verses|א|וַיִּסְמֹךְ|Oismk
al_ch6Verses|ג|וַיִּמָּאֲסוּ|Oimso
al_ch6Verses|ד|לְיַסֵּד|Lisd
al_ch6Verses|ה|נִמְנָע|Nmn
al_ch6Verses|ז|הוּכָּה|Hokh
al_ch7Verses|א|פִי|Pi
al_ch7Verses|ג|וּבְתַאֲוָה|Ovtoh
al_ch7Verses|ד|וְהִתְכּוֹנְנוּ|Ohtkonno
al_ch7Verses|ח|בְתוֹכֵנוּ|Btokno
al_ch7Verses|יא|יִקּוּם|Ikom
al_ch7Verses|יא|וְחָלְיָם׃|Ochlim
al_ch7Verses|יב|הַכּוֹבְלִים|Hkoblim
al_ch7Verses|יב|מֵעָיו|Mio
al_ch7Verses|יב|לָעְזֹר|Lzr
al_ch7Verses|יג|יוֹדַעַת|Iodt
al_ch7Verses|יד|תִוָּלְדוּ|Toldo
al_ch7Verses|יד|הַנּוֹשֵׂא|Hnosh
al_ch7Verses|טו|וְהָסִירוּ|Ohsiro
al_ch7Verses|טו|הַכּוֹבֵל|Hkobl
al_ch7Verses|טז|וְשׁוֹמֵר|Oshomr
al_ch7Verses|יח|תַּאֲוָה|Toh
al_ch7Verses|יח|תַאֲווֹתַי׃|Tooti
al_ch7Verses|יט|מְיַשְּׁרִים|Mishrim
al_ch7Verses|כ|מִיָּמִין|Mimin
al_ch7Verses|כג|וּכְנוּעִים|Okhnoim
al_ch7Verses|כג|וּרְכִים|Orkim
al_ch7Verses|כג|נוֹחִים|Nochim
al_ch7Verses|כג|מְתוּנִים|Mtonim
al_ch7Verses|כג|שׁוֹקְדִים|Shokdim
al_ch7Verses|כג|מוֹדִים|Modim
al_ch7Verses|כו|הַמְּעִידָה|Hmidh
al_ch7Verses|כו|תָגִיל|Tgil
al_ch7Verses|כז|יָנוּחַ|Inoch
al_ch7Verses|כז|וְשָׂדוֹתֵיכֶם|Oshdotikm
al_ch8Verses|א|יִכָּתֵבוּ|Iktbo
al_ch8Verses|א|וַיְיַסֵּד|Oiisd
al_ch8Verses|א|לָנוּחַ|Lnoch
al_ch8Verses|יב|אֵינְךָ|Inkh
al_ch8Verses|יג|וַיִּמְאֲנוּ|Oimno
al_ch8Verses|יג|וַיָּרְקוּ|Oirko
al_ch8Verses|יד|וְעָקַת|Okt
al_ch8Verses|טו|שָׂא|Sh
al_ch8Verses|יז|חוֹקְרִים|Chokrim
al_ch8Verses|כ|נֶפִיִּי|Npii
al_ch8Verses|כ|וּלְבֵיתִי׃|Olbiti
al_ch8Verses|כד|גַּבִּי|Gvi
al_ch8Verses|כח|הוֹסִיפוּ|Hosipo
al_ch8Verses|כח|בַּעֲוֺנֹתֵיהֶם׃|Vontihm
al_ch9Verses|ז|וָאַעֲמֹד|Omd
al_ch9Verses|ח|וְהַנַּעֲוֶה|Ohnoh
al_ch9Verses|יא|וְאֶרֶךְ|Orkh
al_ch9Verses|יא|הוּבְלָנוּ|Hoblno
al_ch9Verses|יב|אֵינָהּ|Inh
al_ch9Verses|יז|וּבְעֵת|Ovt
al_ch9Verses|יח|יַאֲרִיכוּ|Irikho
al_ch9Verses|יח|גְמוּרָה|Gmorh
al_ch9Verses|יט|בַעֲוֺנֹתֵיכֶם|Vontikhm
al_ch9Verses|כב|וְהוּצְּאוּ|Ohotso
al_ch9Verses|כב|אַחַר|Chr
al_ch9Verses|כו|זַעֲקַת|Zkt
al_ch9Verses|כט|הַזּוֹעֵק|Hzok
al_ch9Verses|ל|אָבוּד|Vod
al_ch9Verses|ל|וְנוֹפֵל|Onopl
al_ch9Verses|לב|אָבוּד|Vod
al_ch9Verses|לב|וְנוֹפֵל|Onopl
al_ch9Verses|לב|יַשְׁלִיכֻנִי|Ishlikni
al_ch10Verses|ב|עֲמִינָדִי|Mindi
al_ch10Verses|ב|עֲמִינָדִי|Mindi
al_ch10Verses|ג|וַעֲמִינָדִי|Omindi
al_ch10Verses|ה|מִסּוֹדוֹתָיו|Msodotio
al_ch10Verses|ו|הוֹסַפְתִּי|Hospti
al_ch10Verses|ז|צָם|Tsm
al_ch10Verses|ז|וְתַכְנִיסֵהוּ|Otknisho
al_ch10Verses|ז|וְתַאֲכִילֵהוּ|Otkhilho
al_ch10Verses|יא|יַלְדָי|Ildi
al_ch10Verses|יא|וּקְרוֹבָי|Okrobi
al_ch10Verses|יב|הוּעֲדוּ|Hodo
al_ch10Verses|יג|יִמְסְרוּם|Imsrom
al_ch10Verses|טו|וְעָרְמַת|Ormt
al_ch10Verses|יז|וַיַּכֵּר|Oikr
al_ch10Verses|יז|מְיַסְּדִים|Misdim
al_ch10Verses|יז|יְסוֹדוֹת|Isodot
al_ch10Verses|יז|וּמוֹקְשִׁים|Omokshim
al_ch10Verses|כא|בְּיָדָי׃|Bidi
